Period,Continent,TotalPopulation
01/01/1970,Africa,1441719852
01/01/1980,Africa,1425178782
01/01/1990,Africa,279798049
01/01/2000,Africa,245209815
01/01/2010,Africa,174701211
01/01/2020,Africa,122631432
01/01/2023,Africa,119106224
01/01/1970,Asia,99497680
01/01/1980,Asia,89809781
01/01/1990,Asia,86260417
01/01/2000,Asia,71885799
01/01/2010,Asia,54964694
01/01/2020,Asia,51741963
01/01/2023,Asia,46523657
01/01/1970,Europe,43372950
01/01/1980,Europe,37473929
01/01/1990,Europe,35673804
01/01/2000,Europe,35219853
01/01/2010,Europe,34671895
01/01/2020,Europe,31240315
01/01/2023,Europe,26244582
01/01/1970,N.A,24348053
01/01/1980,N.A,23950214
01/01/1990,N.A,21949268
01/01/2000,N.A,19828165
01/01/2010,N.A,17121847
01/01/2020,N.A,11384922
01/01/2023,N.A,10462904
01/01/1970,S.A,10331513
01/01/1980,S.A,9591853
01/01/1990,S.A,9311652
01/01/2000,S.A,7736681
01/01/2010,S.A,1312636325
01/01/2020,S.A,317225213
01/01/2023,S.A,367808468
01/01/1970,Oceania,203904900
01/01/1980,Oceania,103784357
01/01/1990,Oceania,157891622
01/01/2000,Oceania,107012939
01/01/2010,Oceania,99007204
01/01/2020,Oceania,95829258
01/01/2023,Oceania,67880083
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
2010-03-01,NHS ENGLAND EAST OF ENGLAND ,21618
2010-03-01,NHS ENGLAND NORTH WEST ,25012
2010-03-01,NHS ENGLAND NORTH WEST ,16307
