country,continent,pop 1970,pop1980,pop 1990,pop2000,pop2010,pop2023,pop2024
Afghanistan,Asia,10752971,12486631,10694796,19542982,28189672,42239854,43372950
Albania,Europe,2324731,2941651,3295066,3182021,2913399,2832439,2826020
Algeria,Africa,13795915,18739378,25518074,30774621,35856344,45606480,46278751
American Samoa,Oceania,27075,32886,47818,58230,54849,43914,43544
Andorra,Europe,19860,35611,53569,66097,71519,80088,80341
Angola,Africa,6029700,8330047,11828638,16394062,23364185,36684202,37804634
Anguilla,North America,6283,6560,8316,11047,13172,15899,15936
Antigua and Barbuda,North America,64516,64889,63328,75055,85695,94298,94816
Argentina,South America,23842803,28024803,32637657,37070774,41100123,45773884,46057866
Armenia,Asia,2534377,3135123,3556539,3168523,2946293,2777970,2777979
Aruba,North America,59106,62267,65712,89101,100341,106277,106177
Australia,Oceania,12595034,14706322,17048003,19017963,22019168,26439111,26699482
Austria,Europe,7465301,7547561,7678729,8010428,8362829,8958960,8977139
Azerbaijan,Asia,5425317,6383060,7427836,8190337,9237202,10412651,10462904
Bahamas,North America,179129,223752,270679,325014,373272,412623,415223
Bahrain,Asia,222555,362595,517418,711442,1213645,1485509,1498712
Bangladesh,Asia,67541860,83929765,107147651,129193327,148391139,172954319,174701211
Barbados,North America,241397,253575,258868,264657,274711,281995,282309
Belarus,Europe,9170786,9817257,10428525,10256483,9731427,9498238,9455037
Belgium,Europe,9629376,9828986,9959560,10264343,10877947,11686140,11715774
Belize,North America,120905,145133,182589,240406,322106,410825,416656
Benin,Africa,3023443,3833939,5133419,6998023,9445710,13712828,14080072
Bermuda,North America,52019,53565,57470,61371,63447,64069,63935
Bhutan,Asia,298894,415257,558442,587207,705516,787424,792382
Bolivia,South America,4585693,5736088,7096194,8592656,10223270,12388571,12567336
Bosnia and Herzegovina,Europe,3815561,4199820,4494310,4179350,3811088,3210847,3194378
Botswana,Africa,592244,938578,1341474,1726985,2091664,2675352,2719694
Brazil,South America,96369875,122288383,150706446,175873720,196353492,216422446,217637297
British Virgin Islands,North America,9581,11109,15617,20104,27556,31538,31763
Brunei,Asia,133343,187921,261928,333926,396053,452524,455858
Bulgaria,Europe,8582950,8980606,8767778,8097691,7592273,6687717,6618615
Burkina Faso,Africa,5611666,6932967,9131361,11882888,16116845,23251485,23840247
Burundi,Africa,3497834,4312834,5483793,6307659,9126605,13238559,13591657
Cambodia,Asia,6708525,6198959,8910808,12118841,14363532,16944826,17121847
Cameroon,Africa,6452787,8519891,11430520,15091594,19878036,28647293,29394433
Canada,North America,21434577,24511510,27657204,30683313,33963412,38781291,39107046
Cape Verde,Africa,287262,317234,364563,458251,521212,598682,604461
Cayman Islands,North America,10533,17100,26027,39658,54074,69310,69885
Central African Republic,Africa,2067356,2415276,2809221,3759170,4660067,5742315,5915627
Chad,Africa,3667394,4408230,5827069,8259137,11894727,18278568,18847148
Chile,South America,9820481,11469828,13342868,15351799,17004162,19629590,19658839
China,Asia,822534450,982372466,1153704252,1264099069,1348191368,1425671352,1425178782
Colombia,South America,20905254,26176195,32601393,39215135,44816108,52085168,52340774
Comoros,Africa,242351,328328,431119,536758,656024,852075,867605
Cook Islands,Oceania,20470,17651,17123,15897,17212,17044,17072
Costa Rica,North America,1855697,2414303,3158253,3979193,4622252,5212173,5246714
Croatia,Europe,4492638,4680144,4873707,4548434,4368682,4008617,3986627
Cuba,North America,8869636,9809107,10626680,11105791,11290417,11194449,11174587
Curacao,North America,150385,156851,155446,141424,159380,192077,192965
Cyprus,Europe,640804,679327,788500,948237,1129686,1260138,1268467
Czech Republic,Europe,9795744,10270060,10301192,10234710,10464749,10495295,10503734
Denmark,Europe,4922963,5125392,5144623,5340655,5550849,5910913,5939695
Djibouti,Africa,144379,324121,577173,742033,919199,1136455,1152329
Dominica,North America,68895,72978,69481,68346,68755,73040,73368
